"","mk","condition","rew","ER"
"1","stan","saline","1",0.333333333333333
"2","stan","saline","2",0.666666666666667
"3","stan","saline","3",0.8
"4","stan","saline","4",0.75
"5","stan","saline","1",0.523809523809524
"6","stan","saline","2",0.75
"7","stan","saline","3",0
"8","stan","saline","4",0.75
"9","stan","saline","1",0.8
"10","stan","saline","2",0.5
"11","stan","saline","3",0.75
"12","stan","saline","4",1
"13","stan","saline","1",0.258064516129032
"14","stan","saline","2",0.333333333333333
"15","stan","saline","3",0.714285714285714
"16","stan","saline","4",0
"17","stan","saline","1",0.615384615384615
"18","stan","saline","2",0.8
"19","stan","saline","3",1
"20","stan","saline","4",1
"21","stan","saline","1",0.3125
"22","stan","saline","2",0.777777777777778
"23","stan","saline","3",0.5
"24","stan","saline","4",1
"25","stan","saline","1",0.4
"26","stan","saline","2",0.615384615384615
"27","stan","saline","3",0.857142857142857
"28","stan","saline","4",1
"29","stan","saline","1",0.307692307692308
"30","stan","saline","2",0.5
"31","stan","saline","3",1
"32","stan","saline","4",0.666666666666667
"33","stan","saline","1",0.348837209302326
"34","stan","saline","2",0.333333333333333
"35","stan","saline","3",0.666666666666667
"36","stan","saline","4",0.75
"37","stan","saline","1",0.533333333333333
"38","stan","saline","2",0.619047619047619
"39","stan","saline","3",0.666666666666667
"40","stan","saline","4",1
"41","stan","saline","1",0.7
"42","stan","saline","2",0.9
"43","stan","saline","3",0
"44","stan","saline","4",0.833333333333333
"45","stan","saline","1",0.333333333333333
"46","stan","saline","2",0.666666666666667
"47","stan","saline","3",0.75
"48","stan","saline","4",0.666666666666667
"49","stan","saline","1",0.428571428571429
"50","stan","saline","2",0.285714285714286
"51","stan","saline","3",0.5
"52","stan","saline","4",0.333333333333333
"53","stan","saline","1",0.434782608695652
"54","stan","saline","2",0.428571428571429
"55","stan","saline","3",0.8
"56","stan","saline","4",0.75
"57","stan","saline","1",0.3125
"58","stan","saline","2",0.636363636363636
"59","stan","saline","3",1
"60","stan","saline","4",0.5
"61","stan","saline","1",0.25
"62","stan","saline","2",0.615384615384615
"63","stan","saline","3",0.857142857142857
"64","stan","saline","4",0.666666666666667
"65","stan","saline","1",0.0909090909090909
"66","stan","saline","2",0.235294117647059
"67","stan","saline","3",0.571428571428571
"68","stan","saline","4",1
"69","stan","saline","1",0.344827586206897
"70","stan","saline","2",0.461538461538462
"71","stan","saline","3",0.375
"72","stan","saline","4",0.857142857142857
"73","stan","saline","1",0.290322580645161
"74","stan","saline","2",0.5
"75","stan","saline","3",0.75
"76","stan","saline","4",1
"77","stan","saline","1",0.4375
"78","stan","saline","2",0.533333333333333
"79","stan","saline","3",0.833333333333333
"80","stan","saline","4",1
"81","stan","saline","1",0.5
"82","stan","saline","2",0.555555555555556
"83","stan","saline","3",0.833333333333333
"84","stan","saline","4",0.833333333333333
"85","stan","saline","1",0.333333333333333
"86","stan","saline","2",0.615384615384615
"87","stan","saline","3",1
"88","stan","saline","4",0.727272727272727
"89","stan","saline","1",0.4
"90","stan","saline","2",0.5
"91","stan","saline","3",1
"92","stan","saline","4",0.2
"93","stan","saline","1",0.333333333333333
"94","stan","saline","2",0.75
"95","stan","saline","3",0.75
"96","stan","saline","4",0
"97","stan","saline","1",0.454545454545455
"98","stan","saline","2",0.833333333333333
"99","stan","saline","3",0.4
"100","stan","saline","4",1
"101","stan","saline","1",0.722222222222222
"102","stan","saline","2",0.75
"103","stan","saline","3",1
"104","stan","saline","4",1
"105","stan","saline","1",0.666666666666667
"106","stan","saline","2",0.818181818181818
"107","stan","saline","3",NA
"108","stan","saline","4",0
"109","stan","saline","1",0.684210526315789
"110","stan","saline","2",0.8125
"111","stan","saline","3",0.75
"112","stan","saline","4",0.333333333333333
"113","stan","saline","1",0.428571428571429
"114","stan","saline","2",0.833333333333333
"115","stan","saline","3",0.5
"116","stan","saline","4",0.5
"117","stan","saline","1",0.68
"118","stan","saline","2",0.692307692307692
"119","stan","saline","3",0.5
"120","stan","saline","4",0.5
"121","stan","saline","1",0.878048780487805
"122","stan","saline","2",0.848484848484849
"123","stan","saline","3",0.571428571428571
"124","stan","saline","4",0.571428571428571
"125","stan","SCH0.01","1",0.2
"126","stan","SCH0.01","2",0.416666666666667
"127","stan","SCH0.01","3",0.875
"128","stan","SCH0.01","4",1
"129","stan","SCH0.01","1",0.533333333333333
"130","stan","SCH0.01","2",0.428571428571429
"131","stan","SCH0.01","3",1
"132","stan","SCH0.01","4",1
"133","stan","SCH0.01","1",0.407407407407407
"134","stan","SCH0.01","2",0.727272727272727
"135","stan","SCH0.01","3",0.166666666666667
"136","stan","SCH0.01","4",1
"137","stan","SCH0.03","1",0.291666666666667
"138","stan","SCH0.03","2",0.5
"139","stan","SCH0.03","3",1
"140","stan","SCH0.03","4",1
"141","stan","SCH0.03","1",0.258064516129032
"142","stan","SCH0.03","2",0.181818181818182
"143","stan","SCH0.03","3",0.285714285714286
"144","stan","SCH0.03","4",1
"145","stan","SCH0.03","1",0.344827586206897
"146","stan","SCH0.03","2",0.555555555555556
"147","stan","SCH0.03","3",0.75
"148","stan","SCH0.03","4",0.6
"149","stan","SCH0.03","1",0.15
"150","stan","SCH0.03","2",0.153846153846154
"151","stan","SCH0.03","3",0.75
"152","stan","SCH0.03","4",0.285714285714286
"153","stan","SCH0.05","1",0.111111111111111
"154","stan","SCH0.05","2",0
"155","stan","SCH0.05","3",0
"156","stan","SCH0.05","4",0
"157","stan","SCH0.05","1",0.0540540540540541
"158","stan","SCH0.05","2",0.142857142857143
"159","stan","SCH0.05","3",0.333333333333333
"160","stan","SCH0.05","4",1
"161","stan","SCH0.05","1",0.195121951219512
"162","stan","SCH0.05","2",0.333333333333333
"163","stan","SCH0.05","3",0
"164","stan","SCH0.05","4",0
"165","stan","SCH0.05","1",0.310344827586207
"166","stan","SCH0.05","2",0.125
"167","stan","SCH0.05","3",0.25
"168","stan","SCH0.05","4",0
"169","stan","SCH0.1","1",0.19047619047619
"170","stan","SCH0.1","2",0.0666666666666667
"171","stan","SCH0.1","3",0
"172","stan","SCH0.1","4",0.428571428571429
"173","stan","SCH0.1","1",0
"174","stan","SCH0.1","2",0
"175","stan","SCH0.1","3",0.454545454545455
"176","stan","SCH0.1","4",0.4
"177","stan","SCH0.1","1",0.222222222222222
"178","stan","SCH0.1","2",0.272727272727273
"179","stan","SCH0.1","3",0.333333333333333
"180","stan","SCH0.1","4",0.4
"181","stan","SCH0.1","1",0.391304347826087
"182","stan","SCH0.1","2",0.181818181818182
"183","stan","SCH0.1","3",0.333333333333333
"184","stan","SCH0.1","4",0
"185","kenny","saline","1",0
"186","kenny","saline","2",0.428571428571429
"187","kenny","saline","3",0.4
"188","kenny","saline","4",0
"189","kenny","saline","1",0.538461538461538
"190","kenny","saline","2",0.75
"191","kenny","saline","3",0.333333333333333
"192","kenny","saline","4",0.333333333333333
"193","kenny","saline","1",0.285714285714286
"194","kenny","saline","2",0.8
"195","kenny","saline","3",0.333333333333333
"196","kenny","saline","4",1
"197","kenny","saline","1",0.888888888888889
"198","kenny","saline","2",0.75
"199","kenny","saline","3",1
"200","kenny","saline","4",1
"201","kenny","saline","1",0.375
"202","kenny","saline","2",1
"203","kenny","saline","3",0.6
"204","kenny","saline","4",0.5
"205","kenny","saline","1",0.384615384615385
"206","kenny","saline","2",0.466666666666667
"207","kenny","saline","3",0.555555555555556
"208","kenny","saline","4",0.75
"209","kenny","saline","1",0.210526315789474
"210","kenny","saline","2",0.153846153846154
"211","kenny","saline","3",0.285714285714286
"212","kenny","saline","4",0.571428571428571
"213","kenny","saline","1",0.333333333333333
"214","kenny","saline","2",0.5
"215","kenny","saline","3",0
"216","kenny","saline","4",0.222222222222222
"217","kenny","saline","1",0.333333333333333
"218","kenny","saline","2",0.4
"219","kenny","saline","3",0.333333333333333
"220","kenny","saline","4",0.666666666666667
"221","kenny","saline","1",0.3
"222","kenny","saline","2",0.266666666666667
"223","kenny","saline","3",0.571428571428571
"224","kenny","saline","4",0.333333333333333
"225","kenny","saline","1",0.166666666666667
"226","kenny","saline","2",0.857142857142857
"227","kenny","saline","3",0.2
"228","kenny","saline","4",0
"229","kenny","saline","1",0.434782608695652
"230","kenny","saline","2",0.625
"231","kenny","saline","3",0.461538461538462
"232","kenny","saline","4",0.666666666666667
"233","kenny","saline","1",0.222222222222222
"234","kenny","saline","2",0.166666666666667
"235","kenny","saline","3",NA
"236","kenny","saline","4",0.384615384615385
"237","kenny","saline","1",0.125
"238","kenny","saline","2",0.3
"239","kenny","saline","3",1
"240","kenny","saline","4",0
"241","kenny","saline","1",0.384615384615385
"242","kenny","saline","2",0.25
"243","kenny","saline","3",0
"244","kenny","saline","4",0.583333333333333
"245","kenny","saline","1",0.111111111111111
"246","kenny","saline","2",0.714285714285714
"247","kenny","saline","3",0.181818181818182
"248","kenny","saline","4",0.6
"249","kenny","saline","1",0.285714285714286
"250","kenny","saline","2",1
"251","kenny","saline","3",0.25
"252","kenny","saline","4",0.5
"253","kenny","saline","1",0.166666666666667
"254","kenny","saline","2",0.857142857142857
"255","kenny","saline","3",0.285714285714286
"256","kenny","saline","4",1
"257","kenny","saline","1",0.142857142857143
"258","kenny","saline","2",0.703703703703704
"259","kenny","saline","3",1
"260","kenny","saline","4",0.625
"261","kenny","saline","1",0.3
"262","kenny","saline","2",0.6
"263","kenny","saline","3",0.5
"264","kenny","saline","4",1
"265","kenny","saline","1",0.476190476190476
"266","kenny","saline","2",0.5
"267","kenny","saline","3",0.666666666666667
"268","kenny","saline","4",0.5
"269","kenny","saline","1",0.678571428571429
"270","kenny","saline","2",0.5
"271","kenny","saline","3",0.818181818181818
"272","kenny","saline","4",0.8
"273","kenny","SCH0.01","1",0.208333333333333
"274","kenny","SCH0.01","2",0.388888888888889
"275","kenny","SCH0.01","3",0.5
"276","kenny","SCH0.01","4",0.125
"277","kenny","SCH0.01","1",0.142857142857143
"278","kenny","SCH0.01","2",0.625
"279","kenny","SCH0.01","3",0.5
"280","kenny","SCH0.01","4",0.666666666666667
"281","kenny","SCH0.01","1",0.6
"282","kenny","SCH0.01","2",0.666666666666667
"283","kenny","SCH0.01","3",0.428571428571429
"284","kenny","SCH0.01","4",0.333333333333333
"285","kenny","SCH0.01","1",0.380952380952381
"286","kenny","SCH0.01","2",0.818181818181818
"287","kenny","SCH0.01","3",0.333333333333333
"288","kenny","SCH0.01","4",1
"289","kenny","SCH0.01","1",0.583333333333333
"290","kenny","SCH0.01","2",0.833333333333333
"291","kenny","SCH0.01","3",0.333333333333333
"292","kenny","SCH0.01","4",NA
"293","kenny","SCH0.03","1",0
"294","kenny","SCH0.03","2",0.166666666666667
"295","kenny","SCH0.03","3",0.5
"296","kenny","SCH0.03","4",0.75
"297","kenny","SCH0.03","1",0
"298","kenny","SCH0.03","2",0.333333333333333
"299","kenny","SCH0.03","3",0.166666666666667
"300","kenny","SCH0.03","4",0.4
"301","kenny","SCH0.03","1",0.0476190476190476
"302","kenny","SCH0.03","2",0.2
"303","kenny","SCH0.03","3",1
"304","kenny","SCH0.03","4",0
"305","kenny","SCH0.03","1",0.272727272727273
"306","kenny","SCH0.03","2",0.105263157894737
"307","kenny","SCH0.03","3",0.25
"308","kenny","SCH0.03","4",0.125
"309","kenny","SCH0.03","1",0.5
"310","kenny","SCH0.03","2",1
"311","kenny","SCH0.03","3",0.166666666666667
"312","kenny","SCH0.03","4",0.142857142857143
"313","kenny","SCH0.05","1",0.181818181818182
"314","kenny","SCH0.05","2",0.4375
"315","kenny","SCH0.05","3",0.375
"316","kenny","SCH0.05","4",0.222222222222222
"317","kenny","SCH0.05","1",0.227272727272727
"318","kenny","SCH0.05","2",0.266666666666667
"319","kenny","SCH0.05","3",0.5
"320","kenny","SCH0.05","4",1
"321","kenny","SCH0.05","1",0.333333333333333
"322","kenny","SCH0.05","2",0
"323","kenny","SCH0.05","3",0.4
"324","kenny","SCH0.05","4",0
"325","kenny","SCH0.05","1",0.4
"326","kenny","SCH0.05","2",1
"327","kenny","SCH0.05","3",0
"328","kenny","SCH0.05","4",NA
"329","kenny","SCH0.05","1",0.428571428571429
"330","kenny","SCH0.05","2",1
"331","kenny","SCH0.05","3",0.571428571428571
"332","kenny","SCH0.05","4",0.166666666666667
"333","kenny","SCH0.1","1",0.2
"334","kenny","SCH0.1","2",0.6
"335","kenny","SCH0.1","3",0.5
"336","kenny","SCH0.1","4",0.272727272727273
"337","kenny","SCH0.1","1",0.25
"338","kenny","SCH0.1","2",0.6
"339","kenny","SCH0.1","3",0.25
"340","kenny","SCH0.1","4",0.25
"341","kenny","SCH0.1","1",0.2
"342","kenny","SCH0.1","2",0.5
"343","kenny","SCH0.1","3",0.75
"344","kenny","SCH0.1","4",0.5
"345","kenny","SCH0.1","1",0.222222222222222
"346","kenny","SCH0.1","2",0.428571428571429
"347","kenny","SCH0.1","3",0.6
"348","kenny","SCH0.1","4",0.2
