type,monkey,RW,cond,rt,err,pred
D1ERR-RT,Monkey KN,2,Control,396.1268293,0.028436019,0.043238786
D1ERR-RT,Monkey KN,2,Control,418.6138211,0.0390625,0.052903797
D1ERR-RT,Monkey KN,2,Control,419.45,0.032258065,0.053263191
D1ERR-RT,Monkey KN,2,Control,408.4117647,0.039548023,0.048518907
D1ERR-RT,Monkey KN,2,Control,404.9217877,0.016483516,0.047018899
D1ERR-RT,Monkey KN,2,Control,405.4978166,0.029661017,0.047266479
D1ERR-RT,Monkey KN,2,Control,400.0196078,0.15,0.04491192
D1ERR-RT,Monkey KN,2,Control,433.3508772,0.055248619,0.05923785
D1ERR-RT,Monkey KN,2,Control,391.9306358,0.094240838,0.041435244
D1ERR-RT,Monkey KN,2,Control,392.2676056,0.053333333,0.041580075
D1ERR-RT,Monkey KN,4,10,406.9515152,0.057142857,0.047891285
D1ERR-RT,Monkey KN,4,10,392.4842105,0.020618557,0.041673173
D1ERR-RT,Monkey KN,4,10,394.2054795,0.045751634,0.042412982
D1ERR-RT,Monkey KN,4,10,420.0673575,0.015306122,0.053528534
D1ERR-RT,Monkey KN,4,10,391.0263158,0.025641026,0.041046563
D1ERR-RT,Monkey KN,4,30,420.1340206,0.02020202,0.053557186
D1ERR-RT,Monkey KN,4,30,485.203125,0.085714286,0.081524181
D1ERR-RT,Monkey KN,4,30,446.8897059,0.00729927,0.0650569
D1ERR-RT,Monkey KN,4,30,499.5594406,0.077419355,0.08769459
D1ERR-RT,Monkey KN,4,30,387.36,0.038461538,0.039470764
D1ERR-RT,Monkey KN,4,50,489.4555556,0.081632653,0.083351894
D1ERR-RT,Monkey KN,4,50,460.1989247,0.060606061,0.070777262
D1ERR-RT,Monkey KN,4,50,418.7272727,0.043478261,0.052952559
D1ERR-RT,Monkey KN,4,50,392.3531915,0.020833333,0.04161686
D1ERR-RT,Monkey KN,4,50,487.1458333,0.067961165,0.082359165
D1ERR-RT,Monkey KN,4,100,437.9009009,0.034782609,0.061193471
D1ERR-RT,Monkey KN,4,100,422.8494624,0.041237113,0.054724295
D1ERR-RT,Monkey KN,4,100,449.7602339,0.044692737,0.066290666
D1ERR-RT,Monkey KN,4,100,441.43,0.047619048,0.062710294
D1ERR-RT,Monkey KN,4,Control,411.5744681,0.034246575,0.049878251
D1ERR-RT,Monkey KN,4,Control,415.1590909,0.043478261,0.051418938
D1ERR-RT,Monkey KN,4,Control,379.2307692,0.018867925,0.035976784
D1ERR-RT,Monkey KN,4,Control,379.2408759,0.007246377,0.035981127
D1ERR-RT,Monkey KN,4,Control,367.1875,0.042735043,0.030800532
D1ERR-RT,Monkey KN,4,Control,385.1183432,0.050561798,0.038507289
D1ERR-RT,Monkey KN,4,Control,392.6363636,0.046666667,0.041738569
D1ERR-RT,Monkey KN,4,Control,409.8273381,0.007142857,0.049127327
D1ERR-RT,Monkey KN,4,Control,399.6879433,0.040816327,0.044769369
D1ERR-RT,Monkey KN,4,Control,411.7644231,0.03255814,0.049959895
D1ERR-RT,Monkey KN,4,Control,349.4545455,0.015432099,0.023178828
D1ERR-RT,Monkey KN,4,Control,401.4924242,0.089655172,0.045544943
D1ERR-RT,Monkey KN,4,Control,408.6494845,0,0.04862108
D1ERR-RT,Monkey KN,4,Control,418.045082,0.008130081,0.05265935
D1ERR-RT,Monkey KN,4,Control,456.8046875,0.037593985,0.069318404
D1ERR-RT,Monkey KN,4,Control,436.0223464,0.057894737,0.06038606
D1ERR-RT,Monkey KN,4,Control,384.2685714,0.022346369,0.038142054
D1ERR-RT,Monkey KN,4,Control,394.7844828,0.029288703,0.04266184
D1ERR-RT,Monkey KN,4,Control,401.1366906,0.034722222,0.045392048
D1ERR-RT,Monkey KN,4,Control,415.047619,0.023255814,0.051371027
D1ERR-RT,Monkey KN,4,Control,388.3684211,0.05,0.039904188
D1ERR-RT,Monkey KN,4,Control,390.0753425,0.070063694,0.04063783
