"","MK","S","cond","RC","ctype","ER","RT"
"1","kenny","867","CON","0","d",0.0337078651685393,392.883720930233
"2","kenny","868","CON","0","d",0.0114942528735632,394.046511627907
"3","kenny","869","CON","0","d",0.0394736842105263,393.945205479452
"4","kenny","873","CON","0","d",0.0126582278481013,423.141025641026
"5","kenny","922","CON","0","d",0.04,467.145833333333
"6","kenny","924","CON","0","d",0.0365853658536585,474.417721518987
"7","kenny","925","CON","0","d",0.0297029702970297,429.091836734694
"8","kenny","926","CON","0","d",0,437.109756097561
"9","kenny","867","CON","1","d",0.0444444444444444,448.546511627907
"10","kenny","868","CON","1","d",0.0444444444444444,433.56976744186
"11","kenny","869","CON","1","d",0.1,450.791666666667
"12","kenny","873","CON","1","d",0.102272727272727,461.936708860759
"13","kenny","922","CON","1","d",0.102803738317757,481.489583333333
"14","kenny","924","CON","1","d",0.0919540229885057,516.329113924051
"15","kenny","925","CON","1","d",0.0480769230769231,450.373737373737
"16","kenny","926","CON","1","d",0.0568181818181818,460.048192771084
"17","kenny","867","CON","2","d",0.0549450549450549,455.337209302326
"18","kenny","868","CON","2","d",0.0444444444444444,431.662790697674
"19","kenny","869","CON","2","d",0.120481927710843,509.712328767123
"20","kenny","873","CON","2","d",0.037037037037037,483.25641025641
"21","kenny","922","CON","2","d",0.102803738317757,487.666666666667
"22","kenny","924","CON","2","d",0.0595238095238095,487.037974683544
"23","kenny","925","CON","2","d",0.0571428571428571,443.292929292929
"24","kenny","926","CON","2","d",0.0786516853932584,470.19512195122
"25","kenny","867","CON","0","w",0.0549450549450549,418.023255813953
"26","kenny","868","CON","0","w",0.0227272727272727,401.476744186047
"27","kenny","869","CON","0","w",0.04,411.166666666667
"28","kenny","873","CON","0","w",0.0126582278481013,426.871794871795
"29","kenny","922","CON","0","w",0.04,420.458333333333
"30","kenny","924","CON","0","w",0.0595238095238095,449.341772151899
"31","kenny","925","CON","0","w",0.0101010101010101,417.020408163265
"32","kenny","926","CON","0","w",0.0238095238095238,416.475609756098
"33","kenny","867","CON","1","w",0.141414141414141,385.105882352941
"34","kenny","868","CON","1","w",0.141414141414141,382.6
"35","kenny","869","CON","1","w",0.170454545454545,410.205479452055
"36","kenny","873","CON","1","w",0.0952380952380952,411.671052631579
"37","kenny","922","CON","1","w",0.0495049504950495,430.9375
"38","kenny","924","CON","1","w",0.0705882352941176,473.582278481013
"39","kenny","925","CON","1","w",0.0660377358490566,393.090909090909
"40","kenny","926","CON","1","w",0.0786516853932584,417.353658536585
"41","kenny","867","CON","2","w",0.0851063829787234,466.383720930233
"42","kenny","868","CON","2","w",0.0224719101123595,494.505747126437
"43","kenny","869","CON","2","w",0.151162790697674,475.904109589041
"44","kenny","873","CON","2","w",0.072289156626506,511.077922077922
"45","kenny","922","CON","2","w",0.157894736842105,458.427083333333
"46","kenny","924","CON","2","w",0.0705882352941176,482.518987341772
"47","kenny","925","CON","2","w",0.0480769230769231,504.171717171717
"48","kenny","926","CON","2","w",0.0674157303370786,474.024096385542
"49","kenny","782","D1","0","d",0.0377358490566038,440.656862745098
"50","kenny","786","D1","0","d",0.0140845070422535,446.514285714286
"51","kenny","792","D1","0","d",0.0222222222222222,496.795454545455
"52","kenny","782","D1","1","d",0.0480769230769231,497.333333333333
"53","kenny","786","D1","1","d",0.0277777777777778,496.771428571429
"54","kenny","792","D1","1","d",0.166666666666667,517.311111111111
"55","kenny","782","D1","2","d",0.0380952380952381,463.287128712871
"56","kenny","786","D1","2","d",0.0410958904109589,509.385714285714
"57","kenny","792","D1","2","d",0.117647058823529,519.111111111111
"58","kenny","782","D1","0","w",0.00970873786407767,442.764705882353
"59","kenny","786","D1","0","w",0.0140845070422535,455.271428571429
"60","kenny","792","D1","0","w",0.0625,524.355555555556
"61","kenny","782","D1","1","w",0.00980392156862745,363.990099009901
"62","kenny","786","D1","1","w",0.0789473684210526,400.214285714286
"63","kenny","792","D1","1","w",0.117647058823529,492.844444444444
"64","kenny","782","D1","2","w",0.0194174757281553,444.584158415842
"65","kenny","786","D1","2","w",0.0789473684210526,467.642857142857
"66","kenny","792","D1","2","w",0.166666666666667,528.266666666667
"67","kenny","664","D2","0","d",0,396.62962962963
"68","kenny","685","D2","0","d",0.0289855072463768,449.149253731343
"69","kenny","699","D2","0","d",0.0531914893617021,474.011235955056
"70","kenny","713","D2","0","d",0.206896551724138,541.521739130435
"71","kenny","811","D2","0","d",0.00806451612903226,430.219512195122
"72","kenny","664","D2","1","d",0.161290322580645,404
"73","kenny","685","D2","1","d",0.139240506329114,559.058823529412
"74","kenny","699","D2","1","d",0.127450980392157,542.056179775281
"75","kenny","713","D2","1","d",0.303030303030303,549.739130434783
"76","kenny","811","D2","1","d",0.015748031496063,489.792
"77","kenny","664","D2","2","d",0.1875,550.346153846154
"78","kenny","685","D2","2","d",0.0945945945945946,590.626865671642
"79","kenny","699","D2","2","d",0.101010101010101,557.078651685393
"80","kenny","713","D2","2","d",0.148148148148148,575.695652173913
"81","kenny","811","D2","2","d",0.0740740740740741,479.432
"82","kenny","664","D2","0","w",0,490.807692307692
"83","kenny","685","D2","0","w",0.0563380281690141,472.34328358209
"84","kenny","699","D2","0","w",0.101010101010101,457.134831460674
"85","kenny","713","D2","0","w",0.08,502.826086956522
"86","kenny","811","D2","0","w",0.008,404.411290322581
"87","kenny","664","D2","1","w",0.0714285714285714,400.115384615385
"88","kenny","685","D2","1","w",0.15,442.985294117647
"89","kenny","699","D2","1","w",0.0918367346938776,445.573033707865
"90","kenny","713","D2","1","w",0.206896551724138,548.434782608696
"91","kenny","811","D2","1","w",0.0461538461538462,383.629032258065
"92","kenny","664","D2","2","w",0.0689655172413793,478.740740740741
"93","kenny","685","D2","2","w",0.1625,534.044776119403
"94","kenny","699","D2","2","w",0.278688524590164,583.590909090909
"95","kenny","713","D2","2","w",0.781818181818182,609.333333333333
"96","kenny","811","D2","2","w",0.0808823529411765,479.136
"97","kenny","881","Both","0","d",0,443.34375
"98","kenny","896","Both","0","d",0.025,478.794871794872
"99","kenny","909","Both","0","d",0.0285714285714286,475.926470588235
"100","kenny","881","Both","1","d",0.226190476190476,475.138461538462
"101","kenny","896","Both","1","d",0.0813953488372093,534.873417721519
"102","kenny","909","Both","1","d",0.19047619047619,548.794117647059
"103","kenny","881","Both","2","d",0.305263157894737,497.560606060606
"104","kenny","896","Both","2","d",0.195876288659794,523.897435897436
"105","kenny","909","Both","2","d",0.160493827160494,589.147058823529
"106","kenny","881","Both","0","w",0.0298507462686567,428.923076923077
"107","kenny","896","Both","0","w",0.0365853658536585,461.430379746835
"108","kenny","909","Both","0","w",0.0422535211267606,479.014705882353
"109","kenny","881","Both","1","w",0.144736842105263,452.092307692308
"110","kenny","896","Both","1","w",0.0705882352941176,449.291139240506
"111","kenny","909","Both","1","w",0.1375,473.695652173913
"112","kenny","881","Both","2","w",0.326530612244898,514
"113","kenny","896","Both","2","w",0.131868131868132,534.784810126582
"114","kenny","909","Both","2","w",0.0555555555555556,531.411764705882
"115","stan","1051","CON","0","d",0,354.674418604651
"116","stan","1052","CON","0","d",0.0161290322580645,394.885245901639
"117","stan","1053","CON","0","d",0.0158730158730159,371.91935483871
"118","stan","1054","CON","0","d",0.046875,348.155737704918
"119","stan","1055","CON","0","d",0.0234375,411.104
"120","stan","1114","CON","0","d",0.0298507462686567,369.5
"121","stan","1115","CON","0","d",0.0161290322580645,367.713114754098
"122","stan","1116","CON","0","d",0,369.213740458015
"123","stan","1117","CON","0","d",0.015625,362.428571428571
"124","stan","1118","CON","0","d",0.00806451612903226,348.162601626016
"125","stan","1051","CON","1","d",0.0656934306569343,398.3046875
"126","stan","1052","CON","1","d",0.102941176470588,445.065573770492
"127","stan","1053","CON","1","d",0.0461538461538462,412.895161290323
"128","stan","1054","CON","1","d",0.122302158273381,385.434426229508
"129","stan","1055","CON","1","d",0.114285714285714,428.241935483871
"130","stan","1114","CON","1","d",0.0575539568345324,412.160305343511
"131","stan","1115","CON","1","d",0.103703703703704,410.537190082645
"132","stan","1116","CON","1","d",0.0437956204379562,410.351145038168
"133","stan","1117","CON","1","d",0.0597014925373134,394.166666666667
"134","stan","1118","CON","1","d",0.075187969924812,389.79674796748
"135","stan","1051","CON","2","d",0.128378378378378,411.682170542636
"136","stan","1052","CON","2","d",0.0882352941176471,475.935483870968
"137","stan","1053","CON","2","d",0.0538461538461538,421.90243902439
"138","stan","1054","CON","2","d",0.21656050955414,452.991869918699
"139","stan","1055","CON","2","d",0.149659863945578,446.944
"140","stan","1114","CON","2","d",0.103448275862069,415.784615384615
"141","stan","1115","CON","2","d",0.146853146853147,455.286885245902
"142","stan","1116","CON","2","d",0.143790849673203,425.442748091603
"143","stan","1117","CON","2","d",0.143835616438356,409.432
"144","stan","1118","CON","2","d",0.0888888888888889,408.447154471545
"145","stan","1051","CON","0","w",0,380.100775193798
"146","stan","1052","CON","0","w",0.0238095238095238,403.821138211382
"147","stan","1053","CON","0","w",0.00806451612903226,398.552845528455
"148","stan","1054","CON","0","w",0.0317460317460317,379.565573770492
"149","stan","1055","CON","0","w",0.0161290322580645,420.024590163934
"150","stan","1114","CON","0","w",0.00763358778625954,395.738461538462
"151","stan","1115","CON","0","w",0.0238095238095238,391.49593495935
"152","stan","1116","CON","0","w",0.0223880597014925,379.664122137405
"153","stan","1117","CON","0","w",0.0232558139534884,378.650793650794
"154","stan","1118","CON","0","w",0.0238095238095238,374.186991869919
"155","stan","1051","CON","1","w",0.0152671755725191,417.372093023256
"156","stan","1052","CON","1","w",0.0740740740740741,447.416
"157","stan","1053","CON","1","w",0.0390625,429.422764227642
"158","stan","1054","CON","1","w",0.0681818181818182,427.048780487805
"159","stan","1055","CON","1","w",0.0310077519379845,473.4
"160","stan","1114","CON","1","w",0.0507246376811594,410.900763358779
"161","stan","1115","CON","1","w",0.0393700787401575,451.811475409836
"162","stan","1116","CON","1","w",0.0437956204379562,438.916030534351
"163","stan","1117","CON","1","w",0.0307692307692308,426.563492063492
"164","stan","1118","CON","1","w",0.0390625,412.788617886179
"165","stan","1051","CON","2","w",0.0719424460431655,462.255813953488
"166","stan","1052","CON","2","w",0.0808823529411765,487.808
"167","stan","1053","CON","2","w",0.101449275362319,527.016129032258
"168","stan","1054","CON","2","w",0.127659574468085,453.853658536585
"169","stan","1055","CON","2","w",0.131034482758621,495.388888888889
"170","stan","1114","CON","2","w",0.0647482014388489,459.907692307692
"171","stan","1115","CON","2","w",0.0393700787401575,452.803278688525
"172","stan","1116","CON","2","w",0.0774647887323944,489.015267175573
"173","stan","1117","CON","2","w",0.0381679389312977,458.039682539683
"174","stan","1118","CON","2","w",0.121428571428571,446.016260162602
"175","stan","968","D1","0","d",0,350.241379310345
"176","stan","974","D1","0","d",0.00892857142857143,381.432432432432
"177","stan","978","D1","0","d",0.0117647058823529,354.297619047619
"178","stan","968","D1","1","d",0.114503816793893,460.913793103448
"179","stan","974","D1","1","d",0.0826446280991736,504.162162162162
"180","stan","978","D1","1","d",0.0561797752808989,437.154761904762
"181","stan","968","D1","2","d",0.139705882352941,499.683760683761
"182","stan","974","D1","2","d",0.13953488372093,501.009009009009
"183","stan","978","D1","2","d",0.153061224489796,467.10843373494
"184","stan","968","D1","0","w",0.0168067226890756,374.119658119658
"185","stan","974","D1","0","w",0.0263157894736842,381.657657657658
"186","stan","978","D1","0","w",0.0117647058823529,390.25
"187","stan","968","D1","1","w",0.0413223140495868,439.5
"188","stan","974","D1","1","w",0.0672268907563025,475.432432432432
"189","stan","978","D1","1","w",0.0117647058823529,430.940476190476
"190","stan","968","D1","2","w",0.0569105691056911,489.896551724138
"191","stan","974","D1","2","w",0.0901639344262295,499.414414414414
"192","stan","978","D1","2","w",0.0795454545454545,451.358024691358
"193","stan","849","D2","0","d",0,339.936507936508
"194","stan","891","D2","0","d",0,366.677419354839
"195","stan","905","D2","0","d",0,367.78640776699
"196","stan","849","D2","1","d",0.0526315789473684,413.809523809524
"197","stan","891","D2","1","d",0.137614678899083,480.627659574468
"198","stan","905","D2","1","d",0.185483870967742,419.049504950495
"199","stan","849","D2","2","d",0.0802919708029197,420.912698412698
"200","stan","891","D2","2","d",0.196581196581197,502.351063829787
"201","stan","905","D2","2","d",0.21969696969697,452.563106796117
"202","stan","849","D2","0","w",0.0310077519379845,348.504
"203","stan","891","D2","0","w",0,404.776595744681
"204","stan","905","D2","0","w",0.0188679245283019,384.509615384615
"205","stan","849","D2","1","w",0.0454545454545455,402.833333333333
"206","stan","891","D2","1","w",0.06,502.244680851064
"207","stan","905","D2","1","w",0.128205128205128,457.28431372549
"208","stan","849","D2","2","w",0.0384615384615385,440.776
"209","stan","891","D2","2","w",0.0714285714285714,522.802197802198
"210","stan","905","D2","2","w",0.11965811965812,454.631067961165
"211","stan","1073","Both","0","d",0,348.674157303371
"212","stan","1088","Both","0","d",0,378.350427350427
"213","stan","1101","Both","0","d",0.0185185185185185,397.22641509434
"214","stan","1073","Both","1","d",0.0816326530612245,410.788888888889
"215","stan","1088","Both","1","d",0.106870229007634,436.846153846154
"216","stan","1101","Both","1","d",0.116666666666667,479.924528301887
"217","stan","1073","Both","2","d",0.144230769230769,487.932584269663
"218","stan","1088","Both","2","d",0.145985401459854,460.478632478633
"219","stan","1101","Both","2","d",0.158730158730159,512.566037735849
"220","stan","1073","Both","0","w",0,371.640449438202
"221","stan","1088","Both","0","w",0,386.529914529915
"222","stan","1101","Both","0","w",0.0185185185185185,429.084905660377
"223","stan","1073","Both","1","w",0.118811881188119,468.202247191011
"224","stan","1088","Both","1","w",0.0645161290322581,444.896551724138
