"","monkey","SessionNo","condition","CU","CostType","Refusal Rate","RT"
"83","kenny","790","D1-CON","1","w",0.0196078431372549,460.66
"84","kenny","791","D1-CON","1","w",0.021505376344086,426.32967032967
"85","kenny","796","D1-CON","1","w",0.0254237288135593,404.947826086957
"86","kenny","797","D1-CON","1","w",0.0638297872340425,413.988636363636
"87","kenny","800","D1-CON","1","w",0.15929203539823,399.684210526316
"88","kenny","803","D1-CON","1","w",0.0338983050847458,401.59649122807
"89","kenny","806","D1-CON","1","w",0.108433734939759,400.743243243243
"90","kenny","807","D1-CON","1","w",0.0229885057471264,419.341176470588
"91","kenny","765","D1-CON","2","w",0.0442477876106195,436.916666666667
"92","kenny","768","D1-CON","2","w",0.00735294117647059,379.111111111111
"93","kenny","769","D1-CON","2","w",0.046875,439.83606557377
"94","kenny","772","D1-CON","2","w",0.0574712643678161,482.59756097561
"95","kenny","775","D1-CON","2","w",0.0451127819548872,418.661417322835
"96","kenny","778","D1-CON","2","w",0.0454545454545455,455.845238095238
"97","kenny","779","D1-CON","2","w",0.00961538461538462,434.21359223301
"98","kenny","784","D1-CON","2","w",0.0614035087719298,427.261682242991
"99","kenny","785","D1-CON","2","w",0.0288461538461538,461.633663366337
"100","kenny","789","D1-CON","2","w",0.186046511627907,484.27619047619
"101","kenny","790","D1-CON","2","w",0.0384615384615385,521.01
"102","kenny","791","D1-CON","2","w",0.0319148936170213,490.923076923077
"103","kenny","796","D1-CON","2","w",0.108527131782946,478.295652173913
"104","kenny","797","D1-CON","2","w",0.0537634408602151,495.352272727273
"105","kenny","800","D1-CON","2","w",0.137614678899083,470.31914893617
"106","kenny","803","D1-CON","2","w",0.0655737704918033,498.710526315789
"107","kenny","806","D1-CON","2","w",0.13953488372093,464.189189189189
"108","kenny","807","D1-CON","2","w",0.151515151515152,480.309523809524
"109","kenny","782","D1-MO","0","d",0.0377358490566038,440.656862745098
"110","kenny","786","D1-MO","0","d",0.0140845070422535,446.514285714286
"111","kenny","792","D1-MO","0","d",0.0222222222222222,496.795454545455
"112","kenny","782","D1-MO","1","d",0.0480769230769231,497.333333333333
"113","kenny","786","D1-MO","1","d",0.0277777777777778,496.771428571429
"114","kenny","792","D1-MO","1","d",0.166666666666667,517.311111111111
"115","kenny","782","D1-MO","2","d",0.0380952380952381,463.287128712871
"116","kenny","786","D1-MO","2","d",0.0410958904109589,509.385714285714
"117","kenny","792","D1-MO","2","d",0.117647058823529,519.111111111111
"118","kenny","782","D1-MO","0","w",0.00970873786407767,442.764705882353
"119","kenny","786","D1-MO","0","w",0.0140845070422535,455.271428571429
"120","kenny","792","D1-MO","0","w",0.0625,524.355555555556
"121","kenny","782","D1-MO","1","w",0.00980392156862745,363.990099009901
"122","kenny","786","D1-MO","1","w",0.0789473684210526,400.214285714286
"123","kenny","792","D1-MO","1","w",0.117647058823529,492.844444444444
"124","kenny","782","D1-MO","2","w",0.0194174757281553,444.584158415842
"125","kenny","786","D1-MO","2","w",0.0789473684210526,467.642857142857
"126","kenny","792","D1-MO","2","w",0.166666666666667,528.266666666667
"127","kenny","770","D1-HO","0","d",0.0857142857142857,429.15625
"128","kenny","798","D1-HO","0","d",0.0350877192982456,438.381818181818
"129","kenny","804","D1-HO","0","d",0,439.535211267606
"130","kenny","770","D1-HO","1","d",0.0882352941176471,492.322580645161
"131","kenny","798","D1-HO","1","d",0.140625,575.309090909091
"132","kenny","804","D1-HO","1","d",0.0277777777777778,462.042857142857
"133","kenny","770","D1-HO","2","d",0.205128205128205,541.387096774194
"134","kenny","798","D1-HO","2","d",0.225352112676056,549.327272727273
"135","kenny","804","D1-HO","2","d",0.0410958904109589,468.714285714286
"136","kenny","770","D1-HO","0","w",0.03125,480.709677419355
"137","kenny","798","D1-HO","0","w",0.0517241379310345,480.145454545455
"138","kenny","804","D1-HO","0","w",0,437.071428571429
"139","kenny","770","D1-HO","1","w",0,418.322580645161
"140","kenny","798","D1-HO","1","w",0.0526315789473684,462.425925925926
"141","kenny","804","D1-HO","1","w",0.0405405405405405,410.859154929577
"142","kenny","770","D1-HO","2","w",0.114285714285714,477.58064516129
"143","kenny","798","D1-HO","2","w",0.0666666666666667,572.357142857143
"144","kenny","804","D1-HO","2","w",0.123456790123457,511.845070422535
"145","stan","957","D1-CON","0","d",0.00757575757575758,343.641221374046
"146","stan","960","D1-CON","0","d",0.0152671755725191,321.480620155039
