"","SessionNo","monkey","reward size","condition","RefusalRate","RT"
"39","1107","kenny","3","PRE",0.0604026845637584,404.364285714286
"40","1108","kenny","3","PRE",0.0529411764705882,397.037267080745
"41","1109","kenny","3","PRE",0.0155642023346304,396.063241106719
"42","1110","kenny","3","PRE",0,392.064516129032
"43","1111","kenny","3","PRE",0.03515625,406.781376518219
"44","1112","kenny","3","PRE",0.0136986301369863,403.402777777778
"45","1113","kenny","3","PRE",0.0588235294117647,409.46875
"46","1114","kenny","3","PRE",0.0426829268292683,402.095541401274
"47","1115","kenny","3","PRE",0.083969465648855,437.7
"48","1116","kenny","3","PRE",0.0523560209424084,418.381215469613
"77","1201","kenny","4","D0",0.0606060606060606,467.032258064516
"78","1202","kenny","4","D0",0.0228571428571429,414.602339181287
"79","1203","kenny","4","D0",0.0222222222222222,424.545454545455
"80","1204","kenny","4","D0",0.0480769230769231,417.979797979798
"93","1301","kenny","4","D1",0.0347222222222222,462.791366906475
"94","1302","kenny","4","D1",0.0317460317460317,451.614754098361
"95","1303","kenny","4","D1",0.0330578512396694,495.675213675214
"96","1304","kenny","4","D1",0.0641025641025641,433.369863013699
"109","1401","kenny","4","D2",0.0829015544041451,460.011299435028
"110","1402","kenny","4","D2",0.0101010101010101,400.979591836735
"111","1403","kenny","4","D2",0.0395480225988701,471.805882352941
"112","1404","kenny","4","D2",0.0153846153846154,421.296875
"125","1501","kenny","4","D3",0.0238095238095238,447.4
"126","1502","kenny","4","D3",0.0362694300518135,420.688172043011
"127","1503","kenny","4","D3",0.0442477876106195,489.37962962963
"128","1504","kenny","4","D3",0.0120481927710843,430.701219512195
"138","1601","kenny","4","D4",0.0269058295964126,452.728110599078
"139","1602","kenny","4","D4",0.03125,458.445161290323
"140","1603","kenny","4","D4",0.0347222222222222,449.453237410072
"150","1701","kenny","4","D7",0.00749063670411985,445.264150943396
"151","1702","kenny","4","D7",0.0333333333333333,444.771551724138
"152","1703","kenny","4","D7",0.0307017543859649,400.529411764706
"49","1101","kenny","4","PRE",0.0661764705882353,446.023622047244
"50","1102","kenny","4","PRE",0.0352112676056338,433.496350364964
"51","1103","kenny","4","PRE",0.0347826086956522,462.459459459459
"52","1104","kenny","4","PRE",0.0645161290322581,441.068965517241
"53","1105","kenny","4","PRE",0.0263157894736842,411.277027027027
"54","1106","kenny","4","PRE",0.0113636363636364,399.034482758621
"55","1107","kenny","4","PRE",0.0335570469798658,443.368055555556
"56","1108","kenny","4","PRE",0.0177514792899408,430.084337349398
"57","1109","kenny","4","PRE",0.01171875,408.225296442688
"58","1110","kenny","4","PRE",0.0582010582010582,458.876404494382
"59","1111","kenny","4","PRE",0.0239043824701195,432.820408163265
"60","1112","kenny","4","PRE",0.0303030303030303,431.23125
"61","1113","kenny","4","PRE",0.1,459.135802469136
"62","1114","kenny","4","PRE",0.0481927710843374,413.518987341772
"63","1115","kenny","4","PRE",0.045045045045045,471.896226415094
"64","1116","kenny","4","PRE",0.0260416666666667,422.887700534759
"193","2201","stan","1","D0",0.163265306122449,450.639024390244
"194","2202","stan","1","D0",0.110032362459547,443.858181818182
"201","2301","stan","1","D1",0.164473684210526,504.165354330709
"202","2302","stan","1","D1",0.113074204946996,464.159362549801
"203","2303","stan","1","D1",0.0528169014084507,437.007434944238
"213","2401","stan","1","D2",0.21763085399449,448.704225352113
"214","2402","stan","1","D2",0.12280701754386,413.12
"215","2403","stan","1","D2",0.0614334470989761,380.461818181818
"216","2404","stan","1","D2",0.0696969696969697,430.192182410423
"229","2501","stan","1","D3",0.0887573964497041,422.457792207792
